system_id,system_name,operator_org,countries_covered,data_type,access_method,update_freq_desc,spatial_res_desc,temporal_cov_desc,license_type,governance_body,standards_used,notes,api_availability,schema_completeness,semantic_alignment,update_frequency,spatial_resolution,temporal_coverage,license_openness,data_quality,documentation_quality,governance_gdpr_clarity
SYS01,VectorNet Data Portal (GBIF),ECDC / EFSA (VectorNet),EU-wide,"Vector occurrence records (ticks, mosquitoes, biting midges, sandflies)","GBIF-hosted occurrence search, shapefile download, web viewer",Periodic upload to GBIF (interval not published),Point-level occurrence records,Continuous since 2014; VectorNet in its third phase (2024-2028),Not explicitly published on portal (GBIF-hosted; typically CC0/CC-BY),ECDC and EFSA jointly via the One-Health VectorNet Entomological Network (OHVEN),Darwin Core / GBIF occurrence schema,"Joint ECDC/EFSA project since May 2014, now in third iteration (2024-2028). Validated by a network of medical/veterinary entomologists across EU member states and neighbouring countries. SCORING AUDIT: license_openness corrected 1→0 — licence is unstated (""typically CC0/CC-BY"" is an inferred platform convention, not a documented licence); applying the unstated-evidence rule (unstated licence scores 0 unless an open licence is explicitly documented) for consistency with SYS08, which already scored 0 for the same situation.",2,2,2,1,2,2,0,2,2,2
SYS02,ECDC Tick Distribution Maps,ECDC,EU-wide,Species distribution maps (presence/introduced/absent/unknown) for 7 tick species,Static map files published on ECDC website; historical versions searchable,Irregular (evidence shows updates roughly every 1-3 years; latest observed June 2026 vs prior October 2023),NUTS3 (NUTS2 for AT/BE/DK/DE/NL/parts of UK),Continuous since VectorNet inception (2014-present),ECDC copyright/IP notice applies; not an open data license,ECDC,VectorNet network validation; NUTS administrative geography,"Covers Dermacentor reticulatus, Hyalomma lusitanicum, H. marginatum, Ixodes persulcatus, I. ricinus, Ornithodoros erraticus, Rhipicephalus sanguineus. Maps state they 'do not represent the official view or position of the countries.' Built on VectorNet (SYS01) validated records. SCORING AUDIT: spatial_resolution corrected 2→1 — evidence is NUTS3/NUTS2 (regional); rubric defines regional=1, point-level GPS=2. license_openness corrected 1→0 — evidence states an explicit ECDC copyright/closed licence, matching the 0-tier (closed/restricted licence). FLAGGED (not rescored, double-counting scan): schema_completeness/semantic_alignment (1,1) and data_quality (2) all draw partly on ""VectorNet network validation"" language — a borderline case of one evidence source touching three criteria; left as-is pending further review.",0,1,1,1,1,2,0,2,2,2
SYS03,CiTIQUE,"INRAE (with CPIE Nancy-Champenoux, ANSES, Universite de Lorraine, Tous Chercheurs)",FRA,Citizen-reported tick bite records + physical tick specimens,"""Signalement TIQUE"" mobile app, website form, paper form; interactive risk map",Continuous citizen reporting since 2017 (no stated batch/publish interval for aggregated data),"Bite location reported per-record; public map shows aggregated risk, not raw points","Continuous since 2017; >104,000 reports, >60,000 specimens received as of most recent figures",Not published (no explicit data-sharing/reuse license found),INRAE-led multi-partner consortium; French Ministries of Agriculture/Ecology/Health as supporters,None documented,"Three components: reporting app, tick specimen library (only one of its kind in Europe per INRAE), and linked database. Produced the first tick-bite risk map of France.",0,1,0,1,1,2,0,1,1,1
SYS04,PRAGMATICK (COST Action CA21170),COST Association (Management Committee + Working Groups),EU-wide,Research coordination network output (no centralised occurrence dataset),"Publications, training schools, short-term scientific missions; no shared database","Action runs 2022-2026; no data update cycle (coordination network, not a data system)",Not applicable (no data product),"Fixed COST Action duration, 2022-2026",Publications generally open access per COST norms; no dataset license (no shared dataset),COST Association Management Committee,DAMA protocol (Document-Assess-Monitor-Act); Stockholm paradigm,"A COST Action, not a data portal: coordinates European partner countries applying the DAMA protocol to anticipate tick-borne disease risk. Included here because it is frequently cited alongside data systems in the interoperability literature, but it produces no queryable dataset of its own.",0,0,1,1,0,1,1,0,2,2
SYS05,Tekenradar.nl,RIVM (Netherlands Centre of Expertise on Lyme disease / NLe partners),NLD,Tick bite + symptom + longitudinal health-outcome reports,"Public web reporting (tekenradar.nl) + companion ""Tekenbeet"" app",Weekly participant prompts; continuous data collection,Bite location reported (precision not published),"Multi-year running programme, longitudinal 1-year follow-up per participant",Not published (no explicit open-data license found),RIVM (Dutch national institute for public health and environment),None documented,"Part of the Netherlands Centre of Expertise on Lyme disease. In 2025 recorded the most tick bite reports in five years (6,035 in 2024). Includes longitudinal follow-up for erythema migrans and long-term Lyme outcomes.",0,1,0,2,1,2,0,1,1,1
SYS06,UK Tick Surveillance Scheme (TSS),UK Health Security Agency (UKHSA) - Centre for Climate and Health Security,GBR,"Tick specimen identification records (species, host, location, season)",Postal specimen submission to UKHSA Porton Down; records published via NBN Gateway; quarterly dashboard,Quarterly data releases,Point/grid-referenced records via NBN Gateway,Continuous since 2005 (20+ years),Open Government Licence v3.0,UKHSA,NBN Gateway biodiversity data infrastructure (Darwin Core-compatible),"Public, health practitioners, vets and wildlife groups submit specimens; UKHSA provides species ID within ~2 weeks. All records published openly via the National Biodiversity Network gateway. The most mature, professionally documented system in this assessment. SCORING AUDIT: update_frequency corrected 2→1 — evidence (update_freq_desc=""Quarterly data releases"") matches the periodic (weekly-annual) tier, not continuous/real-time; original score appears to have conflated this with temporal_coverage (system has run continuously since 2005), a separate criterion.",2,2,2,1,2,2,2,2,2,2
SYS07,Tick Prevention App (Switzerland),"ADMED Microbiologie, ZHAW, Zeckenliga (with NRZK, Fondation Sana)",CHE,Individual tick-bite diary entries + specimens sent to national reference lab,"Consumer mobile app (iOS/Android); specimens mailed to NRZK, La Chaux-de-Fonds",Real-time risk display to individual users; underlying dataset publication cadence not documented,Per-user location for personal risk display; aggregated/open dataset not documented,Ongoing app; no multi-year public trend data documented,Not published,"Multi-institution consortium (ADMED, ZHAW, Zeckenliga); no single named governance/oversight body found",None documented,"Covers Switzerland and Liechtenstein, available in DE/EN/FR/IT. Uses weather + location for a five-level real-time bite-risk score. Specimens can be mailed to the National Reference Centre for Tick-borne Diseases (NRZK), but no public research dataset or API was found. SCORING AUDIT: governance_gdpr_clarity corrected 1→0 — evidence states ""no single"" named governance/oversight body, which is the rubric's own 0-tier trigger phrase.",0,1,0,1,1,1,0,1,1,0
SYS08,ZEMEKI,Robert Koch-Institut (Centre for Artificial Intelligence in Public Health Research) with Observation.org,DEU,Citizen tick/mosquito photographs with AI + expert species identification,"Observation.org website and ""ObsIdentify"" app upload",Continuous citizen uploads,"Point-level, geotagged via Observation.org",Ongoing initiative (start year not confirmed in source),Not published on RKI page (Observation.org data typically flows to GBIF),Robert Koch-Institut (federal public health institute),Observation.org / GBIF pipeline (Darwin Core-compatible),"AI-assisted species recognition validated by human experts. Focused on tracking climate-driven range shifts of ticks and the Asian tiger mosquito. SCORING AUDIT: license_openness (0) reviewed against the unstated-evidence rule (unstated licence scores 0 unless an open licence is explicitly documented) — already consistent, no change. FLAGGED (not rescored, double-counting scan): schema_completeness (1) is lower than semantic_alignment (2) despite both being drawn from the same ""Darwin Core-compatible"" standards_used text — worth a separate consistency review outside this audit's scope.",1,1,2,2,2,1,0,2,1,1
SYS09,ZePaK / CLIMATICK Tick Atlas,Robert Koch-Institut,DEU,Tick specimens + pathogen test results (Zecken-Atlas dashboard),Postal specimen submission with paper form; public Tableau dashboard,Dashboard refresh cadence not published,Country-wide dashboard (finer granularity not confirmed),"Builds on RKI standardised collection in Berlin/Brandenburg since 2008, expanded nationwide 2021-2022, ongoing",Not published (separate privacy PDF only),Robert Koch-Institut,RKI standardised tick-collection methodology,"Initially funded by the Federal Ministry of Health (2021-2022). Citizens 18+ submit ticks and receive feedback; pathogen testing includes TBE virus and Lyme borreliosis agents. FLAGGED (not rescored, double-counting scan): schema_completeness (1) and data_quality (2) both partly draw on ""RKI standardised tick-collection methodology"" — weak potential overlap; schema_completeness is already conservative (partial, not maximal), left as-is.",1,1,0,1,1,2,0,2,1,2
SYS10,Tickwatcher / Kullancsfigyelo (Tick Monitor),HUN-REN Centre for Ecological Research,HUN,Citizen tick photo/specimen reports (primary target: Hyalomma spp.),Email/postal submission; public interactive report map,Ongoing since 2021 launch (map update cadence not published),Interactive map of report locations (public raw-data access not documented),"Since 2021 (~4-5 years); intensive 2021 campaign (>31,000 site visits in 7 months)","Explicitly restricted: ""information provided will only be used within the research""",HUN-REN (Hungarian Research Network) via Centre for Ecological Research,None documented,"IMPORTANT SCOPE NOTE: primary target species are the non-native Hyalomma marginatum and H. rufipes, not Ixodes ricinus. I. ricinus specimens are recorded incidentally alongside Dermacentor, Haemaphysalis and Hyalomma finds, so this system's I. ricinus coverage is a by-product rather than its purpose.",0,1,0,1,1,1,0,1,1,1
